Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C15, C16, C22, C28, C33, C35, ",7,10u,0805,C15850
"C2, C3, C4, C5, C6, C7, C8, C9, C10, C17, C19, C20, C23, C29, C34, C36, ",16,100n,0402,C1525
"C11, C12, ",2,2.2u,0603,C23630
"C13, C14, ",2,12p,0402,C1547
"C18, ",1,10n,0402,C15195
"C21, C24, C25, C27, C30, C31, ",6,1u,0603,C15849
"C26, C32, ",2,1n,0603,C1588
"D1, D3, D4, D5, D6, ",5,LED,0603,C72043
"D2, ",1,B5819W,SOD-123,C8598
"FB1, FB2, ",2,100 @ 100 MHz,0805,C1015
"HSE1, ",1,16MHz,SMD-3225_4P,C13738
"R1, R2, R6, R7, R19, Ref1, Ref2, Ref3, Ref4, RgainA1, RgainB1, ",11,2k2,0603,C4190
"R3, R4, R10, R14, ",4,10k,0603,C25804
"R5, ",1,220,0603,C22962
"R8, R20, ",2,1.5k,0603,C22843
"R9, ",1,680,0603,C23228
"R11, R17, ",2,100,0603,C22775
"R12, R15, ",2,16k,0603,C22818
"R13, R16, ",2,20k,0603,C4184
"R18, ",1,100k,0603,C25803
"R_GND1, R_GND2, ",2,0,0603,C21189
"S1, ",1,1825910-6,SMD-SW-4_5.1x5.1x1.5,C318884
"U1, ",1,STM32F405RGTx,LQFP-64_10.0x10.0x0.5P,C15742
"U2, ",1,AMS1117-3.3,SOT-223,C6186
"U5, U7, ",2,AD5272BRM,MSOP-10_3.0x3.0x0.5P,C208055
"U6, U10, ",2,CD74HC4067M,SOIC-24_7.5x15.4x1.27P,C496123
